id,season,start_date,home_team,away_team,toss_won,decision,venue_name,1st_inning_score,2nd_inning_score,winner,pom
1304047,2022,2022-03-26T14:00Z,CSK,KKR,KKR,BOWL FIRST,"Wankhede Stadium, Mumbai",131,133,KKR,Umesh Yadav
1304048,2022,2022-03-27T10:00Z,DC,MI,DC,BOWL FIRST,"Brabourne Stadium, Mumbai",177,179,DC,Kuldeep Yadav
1304049,2022,2022-03-27T14:00Z,PBKS,RCB,KXIP,BOWL FIRST,"Dr DY Patil Sports Academy, Navi Mumbai",205,208,PBKS,Odean Smith
1304050,2022,2022-03-28T14:00Z,GT,LSG,GT,BOWL FIRST,"Wankhede Stadium, Mumbai",158,161,GT,Mohammed Shami
1304051,2022,2022-03-29T14:00Z,SRH,RR,SRH,BOWL FIRST,"Maharashtra Cricket Association Stadium, Pune",210,149,RR,Sanju Samson
1304052,2022,2022-03-30T14:00Z,RCB,KKR,RCB,BOWL FIRST,"Dr DY Patil Sports Academy, Navi Mumbai",128,132,RCB,Wanindu Hasaranga de Silva
1304053,2022,2022-03-31T14:00Z,LSG,CSK,LSG,BOWL FIRST,"Brabourne Stadium, Mumbai",210,211,LSG,Evin Lewis
1304054,2022,2022-04-01T14:00Z,KKR,PBKS,KKR,BOWL FIRST,"Wankhede Stadium, Mumbai",137,141,KKR,Umesh Yadav
1304055,2022,2022-04-02T10:00Z,MI,RR,MI,BOWL FIRST,"Dr DY Patil Sports Academy, Navi Mumbai",193,170,RR,Jos Buttler
1304056,2022,2022-04-02T14:00Z,GT,DC,DC,BOWL FIRST,"Maharashtra Cricket Association Stadium, Pune",171,157,GT,Lockie Ferguson
1304057,2022,2022-04-03T14:00Z,CSK,PBKS,CSK,BOWL FIRST,"Brabourne Stadium, Mumbai",180,126,PBKS,Liam Livingstone
1304058,2022,2022-04-04T14:00Z,SRH,LSG,SRH,BOWL FIRST,"Dr DY Patil Sports Academy, Navi Mumbai",169,157,LSG,Avesh Khan
1304059,2022,2022-04-05T14:00Z,RR,RCB,RCB,BOWL FIRST,"Wankhede Stadium, Mumbai",169,173,RCB,Dinesh Karthik
1304060,2022,2022-04-06T14:00Z,KKR,MI,KKR,BOWL FIRST,"Maharashtra Cricket Association Stadium, Pune",161,162,KKR,Pat Cummins
1304061,2022,2022-04-07T14:00Z,LSG,DC,LSG,BOWL FIRST,"Dr DY Patil Sports Academy, Navi Mumbai",149,155,LSG,Quinton de Kock
1304062,2022,2022-04-08T14:00Z,PBKS,GT,GT,BOWL FIRST,"Brabourne Stadium, Mumbai",189,190,GT,Shubman Gill
1304063,2022,2022-04-09T10:00Z,CSK,SRH,SRH,BOWL FIRST,"Dr DY Patil Sports Academy, Navi Mumbai",154,155,SRH,Abhishek Sharma
1304064,2022,2022-04-09T14:00Z,RCB,MI,RCB,BOWL FIRST,"Maharashtra Cricket Association Stadium, Pune",151,152,RCB,Anuj Rawat
1304065,2022,2022-04-10T10:00Z,KKR,DC,KKR,BOWL FIRST,"Brabourne Stadium, Mumbai",215,171,DC,Kuldeep Yadav
1304066,2022,2022-04-10T14:00Z,RR,LSG,LSG,BOWL FIRST,"Wankhede Stadium, Mumbai",165,162,RR,Yuzvendra Chahal
